Survey_Id,Year,Sex,Hispanic_Origin,County_FIPS,Geography,White,Black,Indian,Asian,Pacific Islander
est72010,7/1/2010,Male,Not Hispanic,51005,"Alleghany County, Virginia",7422,444,51,30,6
est72010,7/1/2010,Male,Total,51005,"Alleghany County, Virginia",7514,453,54,32,6
est72010,7/1/2010,Both Sexes,Hispanic,51005,"Alleghany County, Virginia",164,19,7,3,1
est72010,7/1/2010,Both Sexes,Not Hispanic,51005,"Alleghany County, Virginia",15190,869,90,61,12
est72010,7/1/2010,Both Sexes,Total,51005,"Alleghany County, Virginia",15354,888,97,64,13
est72010,7/1/2010,Female,Hispanic,51007,"Amelia County, Virginia",93,5,12,4,5
est72010,7/1/2010,Female,Not Hispanic,51007,"Amelia County, Virginia",4772,1612,48,31,1
est72010,7/1/2010,Female,Total,51007,"Amelia County, Virginia",4865,1617,60,35,6
est72010,7/1/2010,Male,Hispanic,51007,"Amelia County, Virginia",151,2,26,1,2
est72010,7/1/2010,Male,Not Hispanic,51007,"Amelia County, Virginia",4672,1404,48,29,1
est72010,7/1/2010,Male,Total,51007,"Amelia County, Virginia",4823,1406,74,30,3
est72010,7/1/2010,Both Sexes,Hispanic,51007,"Amelia County, Virginia",244,7,38,5,7
est72010,7/1/2010,Both Sexes,Not Hispanic,51007,"Amelia County, Virginia",9444,3016,96,60,2
est72010,7/1/2010,Both Sexes,Total,51007,"Amelia County, Virginia",9688,3023,134,65,9
est72010,7/1/2010,Female,Hispanic,51009,"Amherst County, Virginia",258,29,9,3,0
est72010,7/1/2010,Female,Not Hispanic,51009,"Amherst County, Virginia",13192,3347,264,172,15
est72010,7/1/2010,Female,Total,51009,"Amherst County, Virginia",13450,3376,273,175,15
est72010,7/1/2010,Male,Hispanic,51009,"Amherst County, Virginia",311,34,6,2,1
est72010,7/1/2010,Male,Not Hispanic,51009,"Amherst County, Virginia",11898,3189,234,116,15
est72010,7/1/2010,Male,Total,51009,"Amherst County, Virginia",12209,3223,240,118,16
est72010,7/1/2010,Both Sexes,Hispanic,51009,"Amherst County, Virginia",569,63,15,5,1
est72010,7/1/2010,Both Sexes,Not Hispanic,51009,"Amherst County, Virginia",25090,6536,498,288,30
est72010,7/1/2010,Both Sexes,Total,51009,"Amherst County, Virginia",25659,6599,513,293,31
est72010,7/1/2010,Female,Hispanic,51011,"Appomattox County, Virginia",72,5,2,0,0
est72010,7/1/2010,Female,Not Hispanic,51011,"Appomattox County, Virginia",6041,1677,40,34,5
est72010,7/1/2010,Female,Total,51011,"Appomattox County, Virginia",6113,1682,42,34,5
est72010,7/1/2010,Male,Hispanic,51011,"Appomattox County, Virginia",81,8,10,1,0
est72010,7/1/2010,Male,Not Hispanic,51011,"Appomattox County, Virginia",5788,1509,39,28,4
est72010,7/1/2010,Male,Total,51011,"Appomattox County, Virginia",5869,1517,49,29,4
est72010,7/1/2010,Both Sexes,Hispanic,51011,"Appomattox County, Virginia",153,13,12,1,0
est72010,7/1/2010,Both Sexes,Not Hispanic,51011,"Appomattox County, Virginia",11829,3186,79,62,9
est72010,7/1/2010,Both Sexes,Total,51011,"Appomattox County, Virginia",11982,3199,91,63,9
est72010,7/1/2010,Female,Hispanic,51013,"Arlington County, Virginia",14036,759,908,358,90
est72010,7/1/2010,Female,Not Hispanic,51013,"Arlington County, Virginia",68996,9768,791,12566,180
est72010,7/1/2010,Female,Total,51013,"Arlington County, Virginia",83032,10527,1699,12924,270
est72010,7/1/2010,Male,Hispanic,51013,"Arlington County, Virginia",14777,739,1025,370,99
est72010,7/1/2010,Male,Not Hispanic,51013,"Arlington County, Virginia",69993,9036,723,10722,207
est72010,7/1/2010,Male,Total,51013,"Arlington County, Virginia",84770,9775,1748,11092,306
est72010,7/1/2010,Both Sexes,Hispanic,51013,"Arlington County, Virginia",28813,1498,1933,728,189
est72010,7/1/2010,Both Sexes,Not Hispanic,51013,"Arlington County, Virginia",138989,18804,1514,23288,387
est72010,7/1/2010,Both Sexes,Total,51013,"Arlington County, Virginia",167802,20302,3447,24016,576
est72010,7/1/2010,Female,Hispanic,51015,"Augusta County, Virginia",631,45,30,12,6
est72010,7/1/2010,Female,Not Hispanic,51015,"Augusta County, Virginia",34373,1123,227,279,12
est72010,7/1/2010,Female,Total,51015,"Augusta County, Virginia",35004,1168,257,291,18
est72010,7/1/2010,Male,Hispanic,51015,"Augusta County, Virginia",758,62,25,13,7
est72010,7/1/2010,Male,Not Hispanic,51015,"Augusta County, Virginia",34249,2110,198,234,22
est72010,7/1/2010,Male,Total,51015,"Augusta County, Virginia",35007,2172,223,247,29
est72010,7/1/2010,Both Sexes,Hispanic,51015,"Augusta County, Virginia",1389,107,55,25,13
est72010,7/1/2010,Both Sexes,Not Hispanic,51015,"Augusta County, Virginia",68622,3233,425,513,34
est72010,7/1/2010,Both Sexes,Total,51015,"Augusta County, Virginia",70011,3340,480,538,47
est72010,7/1/2010,Female,Hispanic,51017,"Bath County, Virginia",33,6,0,0,0
est72010,7/1/2010,Female,Not Hispanic,51017,"Bath County, Virginia",2194,107,11,12,1
est72010,7/1/2010,Female,Total,51017,"Bath County, Virginia",2227,113,11,12,1
est72010,7/1/2010,Male,Hispanic,51017,"Bath County, Virginia",52,13,0,1,0
est72010,7/1/2010,Male,Not Hispanic,51017,"Bath County, Virginia",2192,123,9,4,0
est72010,7/1/2010,Male,Total,51017,"Bath County, Virginia",2244,136,9,5,0
est72010,7/1/2010,Both Sexes,Hispanic,51017,"Bath County, Virginia",85,19,0,1,0
est72010,7/1/2010,Both Sexes,Not Hispanic,51017,"Bath County, Virginia",4386,230,20,16,1
est72010,7/1/2010,Both Sexes,Total,51017,"Bath County, Virginia",4471,249,20,17,1
est72010,7/1/2010,Female,Hispanic,51019,"Bedford County, Virginia",536,43,25,11,2
est72010,7/1/2010,Female,Not Hispanic,51019,"Bedford County, Virginia",34250,2862,232,524,22
est72010,7/1/2010,Female,Total,51019,"Bedford County, Virginia",34786,2905,257,535,24
est72010,7/1/2010,Male,Hispanic,51019,"Bedford County, Virginia",575,48,19,16,2
est72010,7/1/2010,Male,Not Hispanic,51019,"Bedford County, Virginia",33383,2722,219,419,23
est72010,7/1/2010,Male,Total,51019,"Bedford County, Virginia",33958,2770,238,435,25
est72010,7/1/2010,Both Sexes,Hispanic,51019,"Bedford County, Virginia",1111,91,44,27,4
est72010,7/1/2010,Both Sexes,Not Hispanic,51019,"Bedford County, Virginia",67633,5584,451,943,45
est72010,7/1/2010,Both Sexes,Total,51019,"Bedford County, Virginia",68744,5675,495,970,49
est72010,7/1/2010,Female,Hispanic,51021,"Bland County, Virginia",12,1,0,0,0
est72010,7/1/2010,Female,Not Hispanic,51021,"Bland County, Virginia",2996,44,8,11,1
est72010,7/1/2010,Female,Total,51021,"Bland County, Virginia",3008,45,8,11,1
est72010,7/1/2010,Male,Hispanic,51021,"Bland County, Virginia",26,4,3,1,0
est72010,7/1/2010,Male,Not Hispanic,51021,"Bland County, Virginia",3510,204,7,22,2
est72010,7/1/2010,Male,Total,51021,"Bland County, Virginia",3536,208,10,23,2
est72010,7/1/2010,Both Sexes,Hispanic,51021,"Bland County, Virginia",38,5,3,1,0
est72010,7/1/2010,Both Sexes,Not Hispanic,51021,"Bland County, Virginia",6506,248,15,33,3
est72010,7/1/2010,Both Sexes,Total,51021,"Bland County, Virginia",6544,253,18,34,3
est72010,7/1/2010,Female,Hispanic,51023,"Botetourt County, Virginia",156,16,8,5,3
est72010,7/1/2010,Female,Not Hispanic,51023,"Botetourt County, Virginia",15953,554,98,149,11
est72010,7/1/2010,Female,Total,51023,"Botetourt County, Virginia",16109,570,106,154,14
est72010,7/1/2010,Male,Hispanic,51023,"Botetourt County, Virginia",159,12,10,3,0
est72010,7/1/2010,Male,Not Hispanic,51023,"Botetourt County, Virginia",15585,616,95,98,9
est72010,7/1/2010,Male,Total,51023,"Botetourt County, Virginia",15744,628,105,101,9
est72010,7/1/2010,Both Sexes,Hispanic,51023,"Botetourt County, Virginia",315,28,18,8,3
est72010,7/1/2010,Both Sexes,Not Hispanic,51023,"Botetourt County, Virginia",31538,1170,193,247,20
est72010,7/1/2010,Both Sexes,Total,51023,"Botetourt County, Virginia",31853,1198,211,255,23
est72010,7/1/2010,Female,Hispanic,51025,"Brunswick County, Virginia",72,30,7,1,3
est72010,7/1/2010,Female,Not Hispanic,51025,"Brunswick County, Virginia",3477,4668,42,41,2
est72010,7/1/2010,Female,Total,51025,"Brunswick County, Virginia",3549,4698,49,42,5
est72010,7/1/2010,Male,Hispanic,51025,"Brunswick County, Virginia",138,35,9,1,1
est72010,7/1/2010,Male,Not Hispanic,51025,"Brunswick County, Virginia",3585,5367,36,40,7
est72010,7/1/2010,Male,Total,51025,"Brunswick County, Virginia",3723,5402,45,41,8
est72010,7/1/2010,Both Sexes,Hispanic,51025,"Brunswick County, Virginia",210,65,16,2,4
est72010,7/1/2010,Both Sexes,Not Hispanic,51025,"Brunswick County, Virginia",7062,10035,78,81,9
est72010,7/1/2010,Both Sexes,Total,51025,"Brunswick County, Virginia",7272,10100,94,83,13
est72010,7/1/2010,Female,Hispanic,51027,"Buchanan County, Virginia",40,3,4,0,0
est72010,7/1/2010,Female,Not Hispanic,51027,"Buchanan County, Virginia",11631,75,31,37,2
est72010,7/1/2010,Female,Total,51027,"Buchanan County, Virginia",11671,78,35,37,2
est72010,7/1/2010,Male,Hispanic,51027,"Buchanan County, Virginia",50,4,4,0,0
est72010,7/1/2010,Male,Not Hispanic,51027,"Buchanan County, Virginia",11648,590,28,39,3
est72010,7/1/2010,Male,Total,51027,"Buchanan County, Virginia",11698,594,32,39,3
est72010,7/1/2010,Both Sexes,Hispanic,51027,"Buchanan County, Virginia",90,7,8,0,0
est72010,7/1/2010,Both Sexes,Not Hispanic,51027,"Buchanan County, Virginia",23279,665,59,76,5
est72010,7/1/2010,Both Sexes,Total,51027,"Buchanan County, Virginia",23369,672,67,76,5
est72010,7/1/2010,Female,Hispanic,51029,"Buckingham County, Virginia",87,24,2,0,1
est72010,7/1/2010,Female,Not Hispanic,51029,"Buckingham County, Virginia",4996,2556,46,44,4
est72010,7/1/2010,Female,Total,51029,"Buckingham County, Virginia",5083,2580,48,44,5
est72010,7/1/2010,Male,Hispanic,51029,"Buckingham County, Virginia",153,23,2,0,2
est72010,7/1/2010,Male,Not Hispanic,51029,"Buckingham County, Virginia",5712,3582,55,54,5
est72010,7/1/2010,Male,Total,51029,"Buckingham County, Virginia",5865,3605,57,54,7
est72010,7/1/2010,Both Sexes,Hispanic,51029,"Buckingham County, Virginia",240,47,4,0,3
est72010,7/1/2010,Both Sexes,Not Hispanic,51029,"Buckingham County, Virginia",10708,6138,101,98,9
est72010,7/1/2010,Both Sexes,Total,51029,"Buckingham County, Virginia",10948,6185,105,98,12
est72010,7/1/2010,Female,Hispanic,51031,"Campbell County, Virginia",360,29,8,5,6
est72010,7/1/2010,Female,Not Hispanic,51031,"Campbell County, Virginia",23352,4312,207,350,25
est72010,7/1/2010,Female,Total,51031,"Campbell County, Virginia",23712,4341,215,355,31
est72010,7/1/2010,Male,Hispanic,51031,"Campbell County, Virginia",474,32,8,8,5
est72010,7/1/2010,Male,Not Hispanic,51031,"Campbell County, Virginia",22080,3972,189,340,25
est72010,7/1/2010,Male,Total,51031,"Campbell County, Virginia",22554,4004,197,348,30
est72010,7/1/2010,Both Sexes,Hispanic,51031,"Campbell County, Virginia",834,61,16,13,11
est72010,7/1/2010,Both Sexes,Not Hispanic,51031,"Campbell County, Virginia",45432,8284,396,690,50
est72010,7/1/2010,Both Sexes,Total,51031,"Campbell County, Virginia",46266,8345,412,703,61
est72010,7/1/2010,Female,Hispanic,51033,"Caroline County, Virginia",409,71,26,9,4
est72010,7/1/2010,Female,Not Hispanic,51033,"Caroline County, Virginia",9564,4483,214,182,31
est72010,7/1/2010,Female,Total,51033,"Caroline County, Virginia",9973,4554,240,191,35
est72010,7/1/2010,Male,Hispanic,51033,"Caroline County, Virginia",414,75,34,14,6
est72010,7/1/2010,Male,Not Hispanic,51033,"Caroline County, Virginia",9301,4276,199,147,37
est72010,7/1/2010,Male,Total,51033,"Caroline County, Virginia",9715,4351,233,161,43
est72010,7/1/2010,Both Sexes,Hispanic,51033,"Caroline County, Virginia",823,146,60,23,10
est72010,7/1/2010,Both Sexes,Not Hispanic,51033,"Caroline County, Virginia",18865,8759,413,329,68
est72010,7/1/2010,Both Sexes,Total,51033,"Caroline County, Virginia",19688,8905,473,352,78
est72010,7/1/2010,Female,Hispanic,51035,"Carroll County, Virginia",337,4,17,2,4
est72010,7/1/2010,Female,Not Hispanic,51035,"Carroll County, Virginia",14732,118,46,44,8
est72010,7/1/2010,Female,Total,51035,"Carroll County, Virginia",15069,122,63,46,12
est72010,7/1/2010,Male,Hispanic,51035,"Carroll County, Virginia",389,2,21,2,3
est72010,7/1/2010,Male,Not Hispanic,51035,"Carroll County, Virginia",14260,140,65,34,5
est72010,7/1/2010,Male,Total,51035,"Carroll County, Virginia",14649,142,86,36,8
est72010,7/1/2010,Both Sexes,Hispanic,51035,"Carroll County, Virginia",726,6,38,4,7
est72010,7/1/2010,Both Sexes,Not Hispanic,51035,"Carroll County, Virginia",28992,258,111,78,13
est72010,7/1/2010,Both Sexes,Total,51035,"Carroll County, Virginia",29718,264,149,82,20
est72010,7/1/2010,Female,Hispanic,51036,"Charles City County, Virginia",34,4,13,1,1
est72010,7/1/2010,Female,Not Hispanic,51036,"Charles City County, Virginia",1499,1881,299,36,12
est72010,7/1/2010,Female,Total,51036,"Charles City County, Virginia",1533,1885,312,37,13
est72010,7/1/2010,Male,Hispanic,51036,"Charles City County, Virginia",31,4,11,2,0
est72010,7/1/2010,Male,Not Hispanic,51036,"Charles City County, Virginia",1609,1721,250,24,11
est72010,7/1/2010,Male,Total,51036,"Charles City County, Virginia",1640,1725,261,26,11
est72010,7/1/2010,Both Sexes,Hispanic,51036,"Charles City County, Virginia",65,8,24,3,1
est72010,7/1/2010,Both Sexes,Not Hispanic,51036,"Charles City County, Virginia",3108,3602,549,60,23
est72010,7/1/2010,Both Sexes,Total,51036,"Charles City County, Virginia",3173,3610,573,63,24
est72010,7/1/2010,Female,Hispanic,51037,"Charlotte County, Virginia",78,14,5,1,0
est72010,7/1/2010,Female,Not Hispanic,51037,"Charlotte County, Virginia",4275,2028,45,32,5
est72010,7/1/2010,Female,Total,51037,"Charlotte County, Virginia",4353,2042,50,33,5
est72010,7/1/2010,Male,Hispanic,51037,"Charlotte County, Virginia",126,35,17,4,0
est72010,7/1/2010,Male,Not Hispanic,51037,"Charlotte County, Virginia",4243,1783,38,21,2
est72010,7/1/2010,Male,Total,51037,"Charlotte County, Virginia",4369,1818,55,25,2
est72010,7/1/2010,Both Sexes,Hispanic,51037,"Charlotte County, Virginia",204,49,22,5,0
est72010,7/1/2010,Both Sexes,Not Hispanic,51037,"Charlotte County, Virginia",8518,3811,83,53,7
est72010,7/1/2010,Both Sexes,Total,51037,"Charlotte County, Virginia",8722,3860,105,58,7
est72010,7/1/2010,Female,Hispanic,51041,"Chesterfield County, Virginia",9047,1557,661,180,116
est72010,7/1/2010,Female,Not Hispanic,51041,"Chesterfield County, Virginia",109686,39303,1447,6567,161
est72010,7/1/2010,Female,Total,51041,"Chesterfield County, Virginia",118733,40860,2108,6747,277
est72010,7/1/2010,Male,Hispanic,51041,"Chesterfield County, Virginia",10182,1434,850,199,121
est72010,7/1/2010,Male,Not Hispanic,51041,"Chesterfield County, Virginia",103297,33319,1191,5888,180
est72010,7/1/2010,Male,Total,51041,"Chesterfield County, Virginia",113479,34753,2041,6087,301
est72010,7/1/2010,Both Sexes,Hispanic,51041,"Chesterfield County, Virginia",19229,2991,1511,379,237
est72010,7/1/2010,Both Sexes,Not Hispanic,51041,"Chesterfield County, Virginia",212983,72622,2638,12455,341
est72010,7/1/2010,Both Sexes,Total,51041,"Chesterfield County, Virginia",232212,75613,4149,12834,578
est72010,7/1/2010,Female,Hispanic,51043,"Clarke County, Virginia",219,17,13,13,1
est72010,7/1/2010,Female,Not Hispanic,51043,"Clarke County, Virginia",6326,424,54,94,9
est72010,7/1/2010,Female,Total,51043,"Clarke County, Virginia",6545,441,67,107,10
est72010,7/1/2010,Male,Hispanic,51043,"Clarke County, Virginia",243,8,14,9,3
est72010,7/1/2010,Male,Not Hispanic,51043,"Clarke County, Virginia",6261,437,61,80,10
est72010,7/1/2010,Male,Total,51043,"Clarke County, Virginia",6504,445,75,89,13
est72010,7/1/2010,Both Sexes,Hispanic,51043,"Clarke County, Virginia",462,25,27,22,4
est72010,7/1/2010,Both Sexes,Not Hispanic,51043,"Clarke County, Virginia",12587,861,115,174,19
est72010,7/1/2010,Both Sexes,Total,51043,"Clarke County, Virginia",13049,886,142,196,23
est72010,7/1/2010,Female,Hispanic,51045,"Craig County, Virginia",25,3,3,0,0
est72010,7/1/2010,Female,Not Hispanic,51045,"Craig County, Virginia",2589,8,10,8,1
est72010,7/1/2010,Female,Total,51045,"Craig County, Virginia",2614,11,13,8,1
est72010,7/1/2010,Male,Hispanic,51045,"Craig County, Virginia",9,1,5,0,0
est72010,7/1/2010,Male,Not Hispanic,51045,"Craig County, Virginia",2549,13,7,4,1
est72010,7/1/2010,Male,Total,51045,"Craig County, Virginia",2558,14,12,4,1
est72010,7/1/2010,Both Sexes,Hispanic,51045,"Craig County, Virginia",34,4,8,0,0
est72010,7/1/2010,Both Sexes,Not Hispanic,51045,"Craig County, Virginia",5138,21,17,12,2
est72010,7/1/2010,Both Sexes,Total,51045,"Craig County, Virginia",5172,25,25,12,2
est72010,7/1/2010,Female,Hispanic,51047,"Culpeper County, Virginia",1583,211,106,29,29
est72010,7/1/2010,Female,Not Hispanic,51047,"Culpeper County, Virginia",17421,3668,167,448,20
est72010,7/1/2010,Female,Total,51047,"Culpeper County, Virginia",19004,3879,273,477,49
est72010,7/1/2010,Male,Hispanic,51047,"Culpeper County, Virginia",1927,212,137,68,33
est72010,7/1/2010,Male,Not Hispanic,51047,"Culpeper County, Virginia",17198,4223,156,381,32
est72010,7/1/2010,Male,Total,51047,"Culpeper County, Virginia",19125,4435,293,449,65
est72010,7/1/2010,Both Sexes,Hispanic,51047,"Culpeper County, Virginia",3510,423,243,97,62
est72010,7/1/2010,Both Sexes,Not Hispanic,51047,"Culpeper County, Virginia",34619,7891,323,829,52
est72010,7/1/2010,Both Sexes,Total,51047,"Culpeper County, Virginia",38129,8314,566,926,114
est72010,7/1/2010,Female,Hispanic,51049,"Cumberland County, Virginia",59,26,5,0,0
est72010,7/1/2010,Female,Not Hispanic,51049,"Cumberland County, Virginia",3279,1821,50,30,4
est72010,7/1/2010,Female,Total,51049,"Cumberland County, Virginia",3338,1847,55,30,4
est72010,7/1/2010,Male,Hispanic,51049,"Cumberland County, Virginia",77,17,6,2,1
est72010,7/1/2010,Male,Not Hispanic,51049,"Cumberland County, Virginia",3219,1549,46,26,1
est72010,7/1/2010,Male,Total,51049,"Cumberland County, Virginia",3296,1566,52,28,2
est72010,7/1/2010,Both Sexes,Hispanic,51049,"Cumberland County, Virginia",136,43,11,2,1
est72010,7/1/2010,Both Sexes,Not Hispanic,51049,"Cumberland County, Virginia",6498,3370,96,56,5
est72010,7/1/2010,Both Sexes,Total,51049,"Cumberland County, Virginia",6634,3413,107,58,6
est72010,7/1/2010,Female,Hispanic,51051,"Dickenson County, Virginia",46,1,3,1,0
est72010,7/1/2010,Female,Not Hispanic,51051,"Dickenson County, Virginia",7822,48,23,16,2
est72010,7/1/2010,Female,Total,51051,"Dickenson County, Virginia",7868,49,26,17,2
est72010,7/1/2010,Male,Hispanic,51051,"Dickenson County, Virginia",35,1,4,1,0
est72010,7/1/2010,Male,Not Hispanic,51051,"Dickenson County, Virginia",7837,40,28,11,1
est72010,7/1/2010,Male,Total,51051,"Dickenson County, Virginia",7872,41,32,12,1
est72010,7/1/2010,Both Sexes,Hispanic,51051,"Dickenson County, Virginia",81,2,7,2,0
est72010,7/1/2010,Both Sexes,Not Hispanic,51051,"Dickenson County, Virginia",15659,88,51,27,3
est72010,7/1/2010,Both Sexes,Total,51051,"Dickenson County, Virginia",15740,90,58,29,3
est72010,7/1/2010,Female,Hispanic,51053,"Dinwiddie County, Virginia",243,85,11,1,3
est72010,7/1/2010,Female,Not Hispanic,51053,"Dinwiddie County, Virginia",8978,4926,97,122,14
est72010,7/1/2010,Female,Total,51053,"Dinwiddie County, Virginia",9221,5011,108,123,17
est72010,7/1/2010,Male,Hispanic,51053,"Dinwiddie County, Virginia",273,66,24,6,1
est72010,7/1/2010,Male,Not Hispanic,51053,"Dinwiddie County, Virginia",8991,4426,80,73,15
est72010,7/1/2010,Male,Total,51053,"Dinwiddie County, Virginia",9264,4492,104,79,16
est72010,7/1/2010,Both Sexes,Hispanic,51053,"Dinwiddie County, Virginia",516,151,35,7,4
est72010,7/1/2010,Both Sexes,Not Hispanic,51053,"Dinwiddie County, Virginia",17969,9352,177,195,29
est72010,7/1/2010,Both Sexes,Total,51053,"Dinwiddie County, Virginia",18485,9503,212,202,33
est72010,7/1/2010,Female,Hispanic,51057,"Essex County, Virginia",104,26,17,5,6
est72010,7/1/2010,Female,Not Hispanic,51057,"Essex County, Virginia",3368,2341,50,75,7
est72010,7/1/2010,Female,Total,51057,"Essex County, Virginia",3472,2367,67,80,13
est72010,7/1/2010,Male,Hispanic,51057,"Essex County, Virginia",152,28,33,4,17
est72010,7/1/2010,Male,Not Hispanic,51057,"Essex County, Virginia",3048,2021,51,40,4
est72010,7/1/2010,Male,Total,51057,"Essex County, Virginia",3200,2049,84,44,21
est72010,7/1/2010,Both Sexes,Hispanic,51057,"Essex County, Virginia",256,54,50,9,23
est72010,7/1/2010,Both Sexes,Not Hispanic,51057,"Essex County, Virginia",6416,4362,101,115,11
est72010,7/1/2010,Both Sexes,Total,51057,"Essex County, Virginia",6672,4416,151,124,34
est72010,7/1/2010,Female,Hispanic,51059,"Fairfax County, Virginia",75923,4044,3234,1945,334
est72010,7/1/2010,Female,Not Hispanic,51059,"Fairfax County, Virginia",313107,55351,3636,109936,1036
est72010,7/1/2010,Female,Total,51059,"Fairfax County, Virginia",389030,59395,6870,111881,1370
est72010,7/1/2010,Male,Hispanic,51059,"Fairfax County, Virginia",79729,3939,3710,1901,415
est72010,7/1/2010,Male,Not Hispanic,51059,"Fairfax County, Virginia",308874,50736,3392,101747,985
est72010,7/1/2010,Male,Total,51059,"Fairfax County, Virginia",388603,54675,7102,103648,1400
est72010,7/1/2010,Both Sexes,Hispanic,51059,"Fairfax County, Virginia",155652,7983,6944,3846,749
est72010,7/1/2010,Both Sexes,Not Hispanic,51059,"Fairfax County, Virginia",621981,106087,7028,211683,2021
est72010,7/1/2010,Both Sexes,Total,51059,"Fairfax County, Virginia",777633,114070,13972,215529,2770
est72010,7/1/2010,Female,Hispanic,51061,"Fauquier County, Virginia",1862,144,93,29,20
est72010,7/1/2010,Female,Not Hispanic,51061,"Fauquier County, Virginia",27798,3017,257,645,40
est72010,7/1/2010,Female,Total,51061,"Fauquier County, Virginia",29660,3161,350,674,60
est72010,7/1/2010,Male,Hispanic,51061,"Fauquier County, Virginia",1993,122,97,23,22
est72010,7/1/2010,Male,Not Hispanic,51061,"Fauquier County, Virginia",27051,2926,253,510,43
est72010,7/1/2010,Male,Total,51061,"Fauquier County, Virginia",29044,3048,350,533,65
est72010,7/1/2010,Both Sexes,Hispanic,51061,"Fauquier County, Virginia",3855,266,190,52,42
est72010,7/1/2010,Both Sexes,Not Hispanic,51061,"Fauquier County, Virginia",54849,5943,510,1155,83
est72010,7/1/2010,Both Sexes,Total,51061,"Fauquier County, Virginia",58704,6209,700,1207,125
est72010,7/1/2010,Female,Hispanic,51063,"Floyd County, Virginia",159,17,7,3,0
